horizon,method,global_threshold,global_fbeta,beta,precision,recall,f1,fbeta,support,pred_pos
1,external_flood_labels_Fbeta,1.5100353358246126,0.6444444444441313,2.0,0.3333333333333333,0.8529411764705882,0.4793388429752066,0.6502242152463393,34,87
1,admin_level_ge_I,1.4,,2.0,0.935,0.8130434782608695,0.8697674418604651,0.8348214285712453,230,200
